word, frequency, partsOfSpeech
inquiry, 128, n
computer, 733, n
witness, 240, n-v
blast, 149, n-v
chicken, 166, ad-n-v
required, 899, ad-v
patterns, 311, n-v
eating, 356, n-v
olive, 101, ad-n
neanderthals, 181, n
tongue, 163, n-v
switched, 106, v
versions, 209, n
labeled, 158, ad-v
suggested, 521, v
youth, 365, n
potential, 670, n-ad
reader, 182, n
starts, 216, n-v
thinks, 183, n-v
bed, 738, n-v
greatly, 221, av
with, 42975, av-f
indicates, 163, v
areas, 698, n
appear, 821, v
darwin, 868, n
smiled, 211, v
chain, 322, n-v
arguing, 184, n-v
at, 32267, f
bow, 166, n-v
paper, 972, ad-n-v
stuck, 286, ad-v
relied, 101, v
corporations, 132, n
possessed, 162, ad-v
amazing, 174, ad-v
behind, 1707, ad-av-f-n
barrier, 112, n
glass, 598, ad-n
attributed, 149, ad-v
rows, 137, n-v
immediately, 808, av
build, 559, n-v
psychological, 290, ad
tears, 241, n-v
access, 559, n-v
attacking, 114, ad-v
remain, 450, v
placed, 595, v
loaded, 119, ad-v
papers, 395, n-v
turning, 437, n-v
hear, 896, v
christ, 383, n
educational, 143, ad
chapter, 1365, n
publish, 125, v
oxford, 215, n
comics, 177, n
woman, 1377, ad-n
hit, 557, ad-n-v
hospitals, 129, n
lasted, 163, v
strategies, 357, n
correctly, 134, av
sooner, 117, ad-av
lying, 369, n-v
impressed, 167, ad-av
controls, 112, n-v
dying, 281, ad-n-v
engineers, 151, n-v
slowly, 591, av
charity, 102, n
every, 4031, f
minds, 384, n-v
woods, 207, n
geographic, 134, ad
communist, 110, ad-n
assessment, 130, n
wolf, 117, n-v
neither, 606, av-f
eventually, 1057, av
expecting, 133, ad-v
witnesses, 153, n-v
windows, 315, n-v
strike, 198, n-v
prepare, 190, v
items, 269, n
joke, 144, n-v
amid, 135, f
dogs, 587, n-v
cold, 869, av-n-v
damage, 428, n-v
balance, 290, n-v
october, 328, n
ray, 255, n
identity, 950, n
future, 872, ad-n
steady, 189, ad-v
sizes, 134, n-v
alone, 1110, ad-av
preparing, 169, v
tuberculosis, 165, n
speakers, 126, n
spreading, 196, v
shifted, 142, v
controversial, 150, ad
infectious, 180, ad
individual, 1037, ad-n
explain, 867, v
stronger, 190, ad
increasingly, 408, av
component, 200, ad-n
habit, 187, n
break, 642, n-v
glance, 160, n-v
journalist, 104, n
interaction, 166, n
establishment, 169, n
fishing, 189, v
autopsy, 138, n-v
smart, 158, ad
touch, 359, n-v
identification, 160, n
pages, 636, n-v
defence, 169, n
technological, 154, ad
get, 5299, v
embrace, 126, n-v
separation, 122, n
francisco, 290, n
out, 14484, ad-av-f-n-v
learning, 608, n-v
elements, 574, n
spheres, 104, n
dark, 1035, ad-n
sir, 794, n
bunch, 154, n-v
yours, 142, f
shore, 163, n-v
merchants, 135, n
innocent, 196, ad-n
ownership, 147, n
bodies, 893, n-v
animal, 1336, ad-n
god, 2001, n
between, 5761, f
felt, 2239, ad-v
trans, 195, ad-n
lilies, 143, n
challenges, 215, n-v
cry, 196, n-v
egypt, 316, n
responsible, 443, ad
email, 258, n-v
length, 559, n
weapons, 217, n
enthusiasm, 143, n
provides, 360, v
large, 2422, ad-n
rush, 219, ad-n-v
carefully, 415, av
possibility, 420, n
wants, 414, n-v
sort, 970, n-v
russia, 318, n
researchers, 500, n
pagan, 100, ad-n
descent, 138, n
climbed, 176, v
assuming, 142, ad-v
perfectly, 361, av
stone, 768, av-ad-n-v
bank, 300, n-v
accuracy, 135, n
drinking, 410, n-v
theological, 102, ad
director, 346, n
pleasure, 226, n-v
males, 184, n
michigan, 103, n
accepted, 437, ad-v
suit, 265, n-v
permit, 111, n-v
professor, 429, n
customer, 105, n
linked, 403, ad-v
march, 491, n-v
handsome, 121, ad
spent, 984, ad-v
truth, 867, n
triassic, 147, ad-n
labor, 351, n-v
means, 1835, n-v
waiting, 635, n-v
roy, 163, n
chaos, 157, n
lot, 1488, n
proportional, 115, ad
delivered, 292, ad-v
learned, 1000, ad-v
manager, 291, n
afford, 191, v
trump, 1928, n
judge, 425, n-v
sell, 296, n-v
outline, 110, n-v
town, 1457, n
tip, 163, n-v
dry, 405, ad-v
plates, 166, n-v
position, 959, n-v
spoken, 315, ad-v
alice, 174, n
direction, 701, n
shock, 242, ad-n-v
disagree, 114, v
absolutely, 288, av
shop, 282, n-v
regarding, 239, f-v
obtained, 220, v
mouse, 145, n-v
permitted, 114, ad-v
senator, 102, n
creation, 423, n
representatives, 113, n
solutions, 170, n
challenge, 366, n-v
industrial, 294, ad
nodes, 993, n
young, 1929, ad-n
useless, 159, ad
documented, 130, v
file, 312, n-v
statistics, 167, n
pot, 157, n-v
course, 2255, n-v
crowds, 112, n-v
well-known, 134, ad
pair, 454, n-v
visual, 244, ad
shoulders, 266, n-v
russian, 315, ad-n
example, 2712, n
says, 1536, v
eternal, 127, ad
things, 2913, n
top, 1137, ad-av-n-v
needed, 1477, ad-v
influential, 213, ad
base, 441, ad-n-v
feelings, 367, n
took, 3104, v
physically, 191, av
maggie, 140, n
coach, 106, n-v
apply, 298, v
thrust, 104, n-v
mainstream, 161, ad-n-v
dioxide, 237, n
core, 234, ad-n
famous, 760, ad
expert, 304, ad-n
eddie, 170, n
university, 1201, n
comfortable, 245, ad
fast, 591, ad-av-n-v
